date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:35:17	33340/33340	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Nov%202024%2020:35:13%20GMT	https://botnodemainnet.pages.dev/	C:/My%20Web%20Sites/Rectify%20Sync/botnodemainnet.pages.dev/index.html	(from )
21:35:17	4561/4561	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Nov%202024%2020:35:13%20GMT	https://botnodemainnet.pages.dev/robots.txt		(from )
21:35:17	2369/2369	---M--	200	added ('OK')	image/png	etag:%2240deb3769cfc181a7a89d89a917cbdac%22	https://botnodemainnet.pages.dev/assets/img/favicon.png	C:/My%20Web%20Sites/Rectify%20Sync/botnodemainnet.pages.dev/assets/img/favicon.png	(from https://botnodemainnet.pages.dev/)
21:35:18	163894/163894	---MCZ	200	added ('OK')	text/css	etag:W/%22442b7e7e29a3f6d607f753b4121d8209%22	https://botnodemainnet.pages.dev/assets/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Rectify%20Sync/botnodemainnet.pages.dev/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://botnodemainnet.pages.dev/)
21:35:18	92208/92208	---MCZ	200	added ('OK')	text/css	etag:W/%227478fc0302300cfad26b27b2d0c96c16%22	https://botnodemainnet.pages.dev/assets/vendor/icons/icofont.min.css	C:/My%20Web%20Sites/Rectify%20Sync/botnodemainnet.pages.dev/assets/vendor/icons/icofont.min.css	(from https://botnodemainnet.pages.dev/)
21:35:18	80514/80514	---MCZ	200	added ('OK')	text/css	etag:W/%22e643d035abf37609b36b72baa75ba6b3%22	https://botnodemainnet.pages.dev/assets/vendor/bootstrap/font/bootstrap-icons.css	C:/My%20Web%20Sites/Rectify%20Sync/botnodemainnet.pages.dev/assets/vendor/bootstrap/font/bootstrap-icons.css	(from https://botnodemainnet.pages.dev/)
21:35:19	1327/1327	---MCZ	200	added ('OK')	text/css	etag:W/%22f65c8af525d9095779267f97a0bb6874%22	https://botnodemainnet.pages.dev/assets/vendor/slick/slick.min.css	C:/My%20Web%20Sites/Rectify%20Sync/botnodemainnet.pages.dev/assets/vendor/slick/slick.min.css	(from https://botnodemainnet.pages.dev/)
21:35:20	2378/2378	---MCZ	200	added ('OK')	text/css	etag:W/%2229d4b1a51d573e0fb562f2c90425c4d1%22	https://botnodemainnet.pages.dev/assets/vendor/slick/slick-theme.min.css	C:/My%20Web%20Sites/Rectify%20Sync/botnodemainnet.pages.dev/assets/vendor/slick/slick-theme.min.css	(from https://botnodemainnet.pages.dev/)
21:35:20	11392/11392	---MCZ	200	added ('OK')	text/css	etag:W/%2247abdf187b90353fa394719e348fbc82%22	https://botnodemainnet.pages.dev/assets/css/style.css	C:/My%20Web%20Sites/Rectify%20Sync/botnodemainnet.pages.dev/assets/css/style.css	(from https://botnodemainnet.pages.dev/)
21:35:21	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2018%20Nov%202024%2020:35:18%20GMT	https://botnodemainnet.pages.dev/index.html	C:/My%20Web%20Sites/Rectify%20Sync/botnodemainnet.pages.dev/index-2.html	(from https://botnodemainnet.pages.dev/)
21:35:23	1719/1719	---M--	200	added ('OK')	image/png	etag:%22c1d8f1075b9ac30a72239e3953db5edf%22	https://botnodemainnet.pages.dev/assets/img/dapp_logo.png	C:/My%20Web%20Sites/Rectify%20Sync/botnodemainnet.pages.dev/assets/img/dapp_logo.png	(from https://botnodemainnet.pages.dev/)
21:35:23	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2018%20Nov%202024%2020:35:20%20GMT	https://botnodemainnet.pages.dev/index.html	C:/My%20Web%20Sites/Rectify%20Sync/botnodemainnet.pages.dev/index-2.html	(from https://botnodemainnet.pages.dev/)
21:35:24	9663/9663	---M--	200	added ('OK')	image/png	etag:%2201f1807fc358cd47778a4d2643da0327%22	https://botnodemainnet.pages.dev/assets/img/binance.png	C:/My%20Web%20Sites/Rectify%20Sync/botnodemainnet.pages.dev/assets/img/binance.png	(from https://botnodemainnet.pages.dev/)
21:35:24	199459/199459	---M--	200	added ('OK')	image/png	etag:%2220312f60053ff02745f2ff9f3e207b2f%22	https://botnodemainnet.pages.dev/assets/img/ethereum.png	C:/My%20Web%20Sites/Rectify%20Sync/botnodemainnet.pages.dev/assets/img/ethereum.png	(from https://botnodemainnet.pages.dev/)
